No.,問題文
067,"新型のエンジン燃費に関する研究を進めています。現行モデルのエンジンの平均燃費は{mean}km/Lとされていますが、技術の向上により新型エンジンの性能が向上している可能性があります。そこで、新型エンジンを搭載した車両{size}台を選び、それぞれの車両で走行テストを行い以下の燃費データを得ました：{data}km/L。燃費データは正規分布に従うとします。平均燃費が{mean}km/Lを超えて改善されているかを有意水準{alpha}で検定してください。
068,"新型自動車の燃費がメーカー公表値の{mean}km/Lを上回るかどうかを検証するため、ランダムに選んだ{size}台の車について燃費を測定しました。得られたデータは以下の通りです：{data}km/L。この燃費データは正規分布すると考えられます。新型自動車の燃費がメーカー公表値よりも優れているかを有意水準{alpha}で検定してください。
069,"ある工場で製造される電子部品の長さが、産業規格で厳密に規定されており、規格値は{mean}mmとなっています。品質改善の取り組みの一環として、工場では製品の精密度向上を目指しています。工程改良の効果を評価するために、ランダムに選ばれた{size}個の電子部品の長さを測定し、以下のデータが記録されました：{data}(mm)。部品の長さは正規分布に従うことが以前のデータからも確認されています。品質管理部門は有意水準{alpha}で、改良後の部品の平均長さが規格値を超えたかどうかを示すために統計的検証を行う必要があります。
070,"新しい教材の読解力向上効果を評価するために、ある学校で予備テストを行ないました。教材未使用の生徒のテスト結果から推測される全生徒の平均点は{mean}点とされています。新教材を使った{size}人の生徒の得点は次の通りです：{data}点。生徒の得点分布は正規分布に従うと仮定されます。新教材が生徒の読解力を向上させる効果が統計的にあったかどうか、有意水準{alpha}で検定してください。
071,"ある工場で生産される電動工具のバッテリー寿命について、過去のデータでは1つのバッテリーの平均寿命が{mean}時間であったとされています。しかし最近の改良により、バッテリーの寿命が延びたとの報告があります。そこで、ランダムに選んだ{size}個のバッテリーをテストしたところ、以下の寿命データを得ました：{data}時間。バッテリーの寿命は正規分布にしたがうと仮定されます。このデータを用いて、改良によりバッテリーの平均寿命が{mean}時間を超えたと言えるかどうかを、有意水準{alpha}で検定してください。
072,"あるスポーツドリンクのメーカーは、新しい製品のエネルギーブースト効果の持続時間に自信を持っており、その平均効果時間が市場での従来製品の平均{mean}時間を超えていると主張しています。品質管理部門は、最新ロットから無作為に選んだ{size}本のスポーツドリンクをテストし、各製品のエネルギーブースト効果の持続時間を測定しました。その結果、次のデータが得られました：{data}時間。エネルギー効果の持続時間は正規分布するとみなされています。有意水準{alpha}を用いて、新しい製品の平均エネルギーブースト効果の持続時間が{mean}時間を上回っているかどうかを検定してください。
073,"ある工場で製造される電子部品の寿命が改善されたという報告がありました。以前の製造プロセスによる電子部品の平均寿命は{mean}時間とされていました。改善された製造プロセスを採用してから生産された{size}個の部品の寿命をランダムに抽出してテストした結果、次の寿命データが得られました：{data}時間。寿命のデータは正規分布に従うと考えられています。部品の平均寿命が以前の{mean}時間を上回っているかを有意水準{alpha}で検定してください。
074,"新しく導入された加工技術により、ある製品の平均断面積がこれまでの規格値{mean}平方cmから増加しているかどうかを判断するために検証が必要になりました。加工された製品の断面積は正規分布にしたがっていると仮定できます。品質管理チームはランダムに選ばれた{size}個の製品を無作為に抽出し、各製品の断面積を測定したところ以下のデータを得ました：{data}平方cm。平均断面積が規格値{mean}平方cmよりも増加しているという仮説を、有意水準{alpha}で検定してください。
075,"生産ラインで作られるスナックの1袋あたりの重量平均は{mean}gとされています。しかし、最近のライン改良により、実際の重量はこれまでより増加している可能性があります。品質管理のため、無作為に選ばれた{size}袋のスナックの重量を計測し、以下のデータを得ました：{data}(g)。スナックの重量は正規分布していると考えられます。1袋あたりのスナックの重量が以前の平均{mean}gを上回っているかどうかを、有意水準{alpha}で検定してください。
076,"次の場合について1標本t検定を行います：地方のある高等学校の生徒の身長に関して、過去のデータでは男子生徒の平均身長が{mean}cmであるとされていました。最近になって栄養状態の改善が見られるため、それが身長の伸びに影響を与える可能性があると考えられています。そこで、{size}人の男子生徒を無作為に選び、身長を測定した結果は以下のとおりです：{data}cm。生徒の身長は正規分布に従うとされています。これをもとに、この学校の男子生徒の平均身長が{mean}cmを上回っているかどうかを有意水準{alpha}で検定してください。
077,"ある製品の平均寿命が{mean}年であるとされていますが、最新の製造技術が寿命を延ばしているとの推測があります。新しい技術を用いて製造された{size}個の製品の寿命を測定した結果、以下の寿命データを得ました：{data}年。製品の寿命は正規分布していると仮定し、有意水準{alpha}で新しい製造技術により製品の平均寿命が{mean}年以上となっているかを検定してください。
078,"ある自動車メーカーは、新型車の平均燃費が{mean}km/Lであると発表しています。新しい燃費改善技術の採用により、実際にはこの数字を上回ることが期待されています。自動車雑誌のテストドライバーがランダムに選んだ{size}台の新型車を試験したところ、以下のデータを得ました：{data}km/L。燃費データは正規分布に従うと仮定できます。有意水準{alpha}で新型車の平均燃費が{mean}km/Lよりも良いかどうかを検定してください。
079,"あなたは品質管理の専門家で、ある食品工場で製造されるクッキーの平均重量が過去の{mean}gに比べて増加しているかどうかを調査しています。新しい製造ラインでは、原材料の配合が最適化されたため、クッキーの1個あたりの重量が増えたという仮説を立てています。この仮説を検証するために、ランダムに選んだ{size}個のクッキーの重量を計測し、以下のデータを得ました：{data}(g)。クッキーの重量は正規分布に従うと考えられます。有意水準{alpha}で新しい製造ラインによりクッキーの重さが増加したかどうかを検定してください。
080,"食品のカロリー表示が消費者の健康管理に重要な役割を果たしていると考えられています。市販されているある健康食品の製品について、パッケージに記載されている一食あたりの平均カロリーは{mean}kcalとされています。しかし、最近になって製造プロセスの変更があったため、製品のカロリーが増加している可能性があります。そのため品質管理部門は、無作為に選ばれた{size}個の製品のカロリーを測定し、以下のデータを得ました：{data}kcal。カロリー計測の結果は正規分布すると仮定できます。有意水準{alpha}でこの食品の一食あたりの平均カロリーが{mean}kcalを超えているかどうかを検定してください。
081,"あるスポーツ選手のトレーニングプログラムが効果的かどうかを評価するため、トレーニング後の平均心拍数が以前の{mean}bpmよりも低下しているかを検証します。正常な心拍数の分布は正規分布に従うとされており、この選手のトレーニング終了後にランダムに選出された{size}回の運動セッション終了時点の心拍数のデータを集めたところ以下の通りでした：{data}bpm。心拍数が{mean}bpmよりも有意に低下しているかを有意水準{alpha}で検証してください。
082,"ある企業が新たに開発したエネルギー飲料のカフェイン含有量について品質管理を行っています。以前の製品では1缶あたりのカフェイン含有量の平均値は{mean}mgとされており、この新製品では平均含有量が増えた可能性があります。製品の品質チェックとしてランダムに選んだ{size}缶のカフェイン含有量を測定した結果、次のデータが得られました：{data}mg。カフェイン含有量は正規分布に従うとされています。有意水準{alpha}で新製品の1缶あたりのカフェイン含有量の平均が{mean}mgを上回ったかどうかを検定してください。
083,"新発売のスナック菓子に関する消費者からの甘さに対する満足度は平均{mean}点とされていますが、レシピ改良後のスナック菓子がより甘い味わいを提供しているとのフィードバックが多数寄せられています。そこで、改良後のスナック菓子を試食した{size}人の消費者に対して甘さに関する満足度を点数で評価してもらい、次のようなデータが得られました：{data}点。満足度の点数は正規分布するとみなせるため、これらのサンプルデータに基づき、平均甘さ満足度が{mean}点を上回るかどうかを有意水準{alpha}で検定してください。
084,"平均体温は通常{mean}度とされていますが、最新の研究により現代人の体温がこれよりも高いという説があります。ある病院で{size}名の健康な成人について体温を測定した結果、得られたデータは次の通りです：{data}度。これらの体温データは正規分布に従うと考えられます。有意水準{alpha}で現代人の平均体温が{mean}度を上回るかどうか検定してください。
085,"実施したプロジェクトの効率性が過去の平均{mean}時間と比較して向上しているかどうかを評価するため、最近完了した{size}件のプロジェクトの実施時間を分析しました。得られたデータは{data}時間です。プロジェクトの効率評価においては、実施時間が短縮されることが重要ですので、収集されたデータが正規分布に従うと仮定して、プロジェクトの実施時間が過去の平均{mean}時間よりも有意に短くなったかを、有意水準{alpha}で検定してください。
086,"工場生産ラインの採用されている機械の平均修理時間が{mean}時間とされています。最近、改良された保守プログラムが導入されたため、平均修理時間が短縮されている可能性が考えられます。実際に{size}件の修理についてデータを収集したところ、次のデータが得られました：{data}時間。修理時間は正規分布していると仮定しているため、有意水準{alpha}で平均修理時間が以前の{mean}時間よりも実際に短縮されたかどうかを検定してください。
087,"新開発の肥料の効果を調査するため、特定の植物の成長量の増加が期待されています。過去のデータによれば、肥料を使用しない場合の植物一株あたりの平均成長量は{mean}cmとされています。新肥料を使用した後、ランダムに選んだ{size}株の植物の成長量を測定し、次のデータを得ました：{data}cm。成長量は正規分布に従っていると考えられています。新肥料の導入により一株あたりの成長量が{mean}cmを超えたと言えるかを、有意水準{alpha}で検証してください。
088,"新しい減肥プログラムの効果に関する研究が実施されました。過去のプログラムでは、参加者の平均体重減少量は{mean}kgであったとされています。新しいプログラムを受けた{size}人の参加者の体重減少量を測定した結果、次のデータが得られました：{data}(kg)。体重減少量は正規分布に従うとされています。新しいプログラムによる平均体重減少量が過去の結果を上回っているかどうかを、有意水準{alpha}で検証してください。
089,"こちらが新たに作成した問題文の初案です．「新発売されたダイエットサプリメントの効果を測定しています。以前の研究では、類似のサプリメントによる体重減少の平均効果は{mean}kgでした。市場に出る前の最終段階として、{size}人の被験者に新サプリメントを服用させ、体重の変化を記録した結果、次のデータが得られました：{data}kg。被験者の体重減少データは正規分布に従っています。新サプリメントによる平均体重減少効果が以前の研究の結果を上回っているかどうかを、有意水準{alpha}で検定してください。」
090,"「コーヒーショップチェーン店の各店舗の1週間あたりの来客数増加が疑われています。これまでのデータから、ある店舗の平均来客数は週に{mean}人とされていました。最近行われたプロモーションの効果を評価するため、ランダムに選んだ1週間の来客数を{size}日分調べたところ、次のデータを得ました：{data}人。来客数は正規分布すると仮定されます。プロモーションによって平均来客数が増加したかどうかを判定するため、有意水準{alpha}で検定を行ってください。」
091,"新しいプログラムの処理速度についての調査を行っています。既存のプログラムの処理速度の平均は{mean}ミリ秒だとされていますが、新しいプログラムがこの性能を向上させている可能性が考えられます。そこで、{size}回の試行で得られた処理速度のデータは以下の通りです：{data}ミリ秒。プログラムの処理速度が正規分布に従うと仮定した上で、有意水準{alpha}において新しいプログラムの処理速度の平均が{mean}ミリ秒を上回っているかを検定してください。
092,"新しいエネルギードリンクの効果を測定するために、バイタリティテストが{size}人の参加者に対して行われました。過去の製品では、テストの平均スコアは{mean}であったことから、新製品は少なくとも同等もしくはそれ以上の効果があると期待されています。参加者のテスト結果は以下のとおりです：{data}。テストスコアは正規分布に従うと仮定します。新しいエネルギードリンクが過去の製品に比べて優れた効果を持つかどうかを、有意水準{alpha}で検定してください。
093,"新開発されたエンジンの燃費が既存のものと比較して改善されたかどうかを検証するために、サンプルデータの分析が必要です。先行研究に基づくと、類似エンジンの平均燃費は{mean}km/Lとされています。エンジンメーカーによる最近のテストでは、ランダムに選んだ{size}台の新エンジンを搭載した車両の燃費を計測し、次のデータが得られました：{data}km/L。燃費のデータは正規分布すると考えられます。この新エンジンの平均燃費が{mean}km/Lを超えているかどうかを有意水準{alpha}で検定してください。
094,"製菓会社が新製品のクッキーを開発しました。これまでの製品におけるクッキー1枚あたりの平均カロリーは{mean}kcalでしたが、新製品では材料の改良を行なったことで平均カロリーがこれを上回ることが期待されています。新製品の品質テストで、選ばれた{size}枚のクッキーから得られたカロリーのデータは以下の通りです：{data}kcal。クッキーのカロリーは正規分布に従うことが過去のデータからわかっています。有意水準{alpha}でクッキー1枚あたりの平均カロリーが{mean}kcalよりも高いかを検定してください。
095,"ある電子部品の製造過程で、部品の平均寿命が{mean}時間以上であることが品質基準として設定されています。品質管理部門は、新たに改良された製造プロセスが基準を満たしているかさらなる改善が可能かを調査するために、無作為に選んだ{size}個の電子部品をテストし、寿命を測定したところ以下のデータが得られました：{data}時間。寿命の分布は正規分布に従っていると考えられます。この結果をもとに、改良された製造プロセスによる部品の平均寿命が品質基準を超えていると言えるかどうかを有意水準{alpha}で検定してください。
096,"新たに開発されたエンジンの燃費に関する実験を行っています。従来のエンジンの平均燃費は{mean}km/Lとされていますが、新エンジンがこの値を改善しているかどうかを確認する必要があります。実験ではランダムに選ばれた{size}台の車に新エンジンを搭載し、各車について燃費を測定しました。得られた燃費データは以下の通りです：{data}km/L。燃費の値は正規分布に従うと推測されます。有意水準{alpha}で新エンジンの平均燃費が従来のエンジンの燃費{mean}km/Lを超えるかどうかを検定してください。
097,"新しいスニーカーの設計において、従来モデルの走行距離平均は{mean}キロメートルとされていましたが、素材改善により耐久性が向上したとの報告があります。この主張を検証するため、ランダムに選んだ{size}足のスニーカーに対して耐久テストを行い、次のデータを得ました：{data}キロメートル。スニーカーの耐久性は正規分布に従うと考えられます。スニーカーの平均走行距離が{mean}キロメートルを超えているかを有意水準{alpha}で検証してください。
098,"ある製薬会社では、新たに開発した睡眠改善薬の効果を検証しています。過去の研究で得られたデータによると、市場にある同様の種類の薬の眠りに入るまでの平均時間は{mean}分とされています。新たに開発した薬がこれよりも効果的であるため、眠りに入る時間が短縮される可能性があると考えられています。そこで、無作為に選んだ{size}人の被験者に新薬を試してもらったところ、次のような眠りに入るまでの時間が計測されました：{data}分。睡眠に入るまでの時間は正規分布すると仮定されています。新薬の効果が既存の薬よりも有意に短縮されたかどうかを、有意水準{alpha}で検証してください。
099,"あなたが担当している大学の実験心理学の授業では、注意持続期間について研究しています。過去の研究から、この手法を用いた際の被験者の平均注意持続期間は{mean}分だとされています。新たな訓練プログラムを導入した後の学生{size}人の群を対象に実験を行ったところ、次のような注意持続期間を得ました：{data}分。得られたデータは正規分布すると考えられます。新しい訓練プログラムが注意持続期間を有意に延長させるかを判断するために、有意水準{alpha}で平均値が{mean}分を超えるかどうかを検定してください。
100,"新発売のスポーツドリンクのカフェイン含有量に関する研究を行っています。市場に出回っている同種のドリンクのカフェイン含有量の母平均は{mean}mgとされていますが、この新製品はそれを上回ると主張されています。品質管理のために無作為に選んだ{size}本のスポーツドリンクからカフェイン含有量を測定し、以下のデータを得ました：{data}mg。カフェイン含有量は正規分布に従うと仮定します。新製品のカフェイン含有量が市場平均の{mean}mgを上回っているかどうかを、有意水準{alpha}で検討してください。
