No.,問題文
069,"新型の省エネルギー冷蔵庫が市場に導入されましたが、製造メーカーはこの冷蔵庫の平均消費電力量が既存のモデルの{mean}kWh/年よりも低いことを主張しています。消費電力が実際に低下しているかを検証するため、市場からランダムに{size}台の冷蔵庫を選び出し、1年間の消費電力量を計測した結果、以下のデータを得ました：{data}kWh/年。消費電力量は正規分布していると仮定しています。平均消費電力量が{mean}kWh/年を下回っているかどうかを有意水準{alpha}で検定してください。
070,"ある工場で製造した電球の寿命について検証を行います。以前のロットの電球に関する調査から、電球の平均寿命は{mean}時間とされていました。しかし、最近のコスト削減策により製造工程に変更が加えられたため、新ロットの電球寿命が短くなっているのではないかと懸念されています。品質保証担当者として、新しいロットから無作為に選んだ{size}個の電球をテストし、次の寿命データを得ました：{data}時間。電球の寿命は正規分布すると考えられています。有意水準{alpha}で、新ロットの電球の平均寿命が以前のロットの{mean}時間より短いかどうかを検定してください。
071,"ある製造工場では、規定により製品の平均寿命は{mean}年以上でなければならないとされています。新しい製造プロセスが導入された後、実際に製品の寿命が規定値を満たしているかを確認する必要が出てきました。そこで、ランダムに抽出された{size}個の製品について寿命テストを実施した結果、以下のデータが得られました：{data}年。製品の寿命は正規分布に従うと仮定しています。新しい製造プロセスによって製品の平均寿命が{mean}年を満たしていないという疑念が生じています。それを確かめるために、有意水準{alpha}で検定を行ってください。
072,"新型エンジンの燃費試験を実施しています。過去のモデルのエンジンにおける平均燃費は{mean}km/lと公表されていましたが、コスト削減による部品の変更が燃費を低下させている可能性が懸念されています。新型エンジンを搭載した車両{size}台の燃費データを収集した結果は次のとおりでした：{data}km/l。燃費の分布は正規分布に従うと考えられています。このデータを使用して、車両の平均燃費が公表値の{mean}km/lよりも低下しているかどうか、有意水準{alpha}で検定してください。
073,"ある食品会社は、TomatoJoeというブランドのトマトソースを製造しており、包装ラベルには固有の平均重量として{mean}gと記載しています。品質管理部門では、この重量が維持されていることを保証するために定期的に検査を行っていますが、最近の生産ラインの変更によりトマトソースの重量が減少している可能性が懸念されています。そのため、質保チームは無作為に選んだ{size}個のトマトソースから重量データ{data}gを収集しました。重量データは正規分布すると仮定しています。有意水準{alpha}でトマトソースの平均重量が以前の規定値{mean}gよりも少なくなっていないかどうかを検定してください。
074,"ある工場では、製品Aの規格重量が{mean}kgと定められています。最近の出荷検査で、{size}個の製品Aの重量を測定し、以下のデータが得られました：{data}(kg)。製品の重量は正規分布に従うとされています。新しい設備の導入により、製品の規格重量が変動している可能性があるため、現在の製品Aの平均重量が規格値{mean}kg未満になっていないかを、有意水準{alpha}で検討してください。
075,"新しいトウモロコシの品種について、平均収穫量が従来の品種に比べて低下している可能性が指摘されています。従来の品種の1株あたりの平均収穫量は{mean}kgとされています。フィールドテストでは新品種のトウモロコシ{size}株が植えられ、収穫後に得られたデータは次の通りです：{data}(kg)。収穫量は正規分布に従うと仮定されます。新品種の平均収穫量が{mean}kgを下回っているかどうか、有意水準{alpha}で検定してください。
076,"新たに導入された配送プロセスが従来の方法よりも時間を短縮しているかどうかを評価するため、ある配送会社が独自の調査を行いました。以前の配送プロセスの平均配達時間は{mean}分と記録されています。新しい配送プロセスを用いて{size}件の配送データを収集し、以下のデータが得られました：{data}分。配送時間は正規分布に従うことが知られています。新しいプロセスが従来のプロセスの平均配達時間を実際に短縮したかを確認するために、有意水準{alpha}で配送時間が{mean}分を下回ることを検証してください。
077,"栄養士が作成した新しい朝食メニューについて、そのエネルギー量が母集団である従来の朝食メニューの平均エネルギー量{mean}kcalより低くなったかどうかを調査します。調理された{size}食分のメニューからエネルギー量を測定し、次のデータが得られました：{data}(kcal)。エネルギー量は正規分布に従うとされています。有意水準{alpha}で新しいメニューの平均エネルギー量が従来のメニューの平均エネルギー量を下回るかどうか検定してください。
078,"ある製品の母平均寿命が{mean}年だとされています。あなたは品質管理の担当者として、製品の寿命が母平均よりも短くなっているという指摘を受け、確かめるための検定を行うことにしました。新たに製造された{size}個の製品について無作為に寿命テストを実施し、以下のデータを得ました：{data}年。製品寿命は正規分布すると仮定されています。製品の平均寿命が{mean}年を下回るかどうかを、有意水準{alpha}で検定してください。
079,"新発売のダイエットサプリメントの効果について、メーカー側は1日のカロリー消費が{mean}kcal増加すると主張しています。臨床試験として、{size}人の志願者を選び、新サプリメントを1日摂取した後のカロリー消費量の変化を測定し、次のデータを得ました：{data}kcal。消費カロリーの測定値は正規分布すると仮定しています。有意水準{alpha}でこのサプリメントがカロリー消費を増加させず、もしかすると減らしている可能性があるかどうかを検定してください。
080,"学校の栄養摂取基準に照らし、給食のカロリーが十分であるか評価するため、学校給食の一食当たりの平均カロリーが{mean}kcalであるとの基準値が設けられています。これを踏まえ、給食を提供している学校で{size}食分の給食のカロリーを測定したところ、{data}kcalのデータが得られました。得られたカロリーデータは正規分布すると仮定できます。給食の一食当たりのカロリーが基準値{mean}kcalに満たない可能性があるという疑念が提起されているため、有意水準{alpha}でこの疑念が正しいかを統計的に検定してください。
081,"ある製菓会社は、新しく発売されたチョコレートの平均砂糖含有量が{mean}グラムであることを謳っています。しかし、健康的な食品のニーズが高まる中、製品の砂糖含有量が実際にはこれよりも低いのではないかとの市場からの指摘がありました。そこで品質管理部ではランダムに選んだ{size}個のチョコレートから砂糖含有量を測定し、以下のデータを得ました：{data}(グラム)。砂糖含有量は正規分布に従うと仮定されています。有意水準{alpha}で砂糖含有量が{mean}グラムを下回っているかどうかを検定してください。
082,"ある食品製造会社では、缶詰の平均内容量が{mean}gであることを品質基準としています。最近の生産ラインの機械調整により、平均内容量が基準値を下回る可能性が出てきました。品質保証部門は、ランダムに選んだ{size}個の缶詰から内容量を測定し、次のデータを得ました：{data}(g)。内容量が正規分布に従うとの仮定のもと、このデータを使って、缶詰の平均内容量が{mean}g未満かどうかを有意水準{alpha}で検証してください。
083,"新しい低糖質ダイエット菓子の試作品の糖質含量が、業界標準である{mean}gよりも実際に低いことを確認するために、生産された{size}個の試作品からランダムに抽出した{data}個の糖質含量を測定しました。これらの糖質含量は正規分布に従うと仮定されています。糖質含量が業界標準の{mean}gを下回っているかどうかを有意水準{alpha}で検定してください。
084,"ある工場が生産する製品の厚みは、品質管理の重要な指標です。過去の記録によると、この製品の厚みの母平均は{mean}mmとされています。しかし最近、生産プロセスの変更が行われたため、製品の厚みは減少している可能性があります。品質管理のために、変更後の製品からランダムに{size}個を選んで厚みを計測し、以下のデータが得られました：{data}(mm)。製品の厚みは、正規分布していると仮定されます。変更した生産プロセスが製品の厚みを減少させたかどうかを調べるために、有意水準{alpha}で母平均が{mean}mmよりも小さいかを検定してください。
085,"生産ラインで製造されるステンレスボルトの平均重量が運用基準{mean}gを下回っていないかを確かめるために品質管理のテストが行われました。サンプルとして無作為に選ばれた{size}個のボルトの重量を測定したところ以下のデータが得られました：{data}(g)。ボルトの重量は正規分布に従うものと仮定されています。有意水準{alpha}でサンプルデータをもとに、ボルトの平均重量が運用基準値{mean}gを維持しているか、それとも運用基準値よりも低い値になっていないかを検定してください。
086,"新しくマーケットに投入されたビタミンサプリメントの効果について、製品パッケージには1日の目安摂取量により血中ビタミンC濃度が{mean}mg/Lに達すると記載されています。しかしながら、この効果が実際に達成されているかについて疑問が提起されました。このため、{size}人の志願者に目安摂取量のサプリメントを飲んでいただき、1日後の血中ビタミンC濃度を測定しました。結果、以下のデータが得られました：{data}(mg/L)。血中ビタミンC濃度は正規分布に従うと仮定できます。得られたデータを用いて、製品の効果により血中ビタミンC濃度が{mean}mg/Lを下回る可能性があるかどうかを有意水準{alpha}で検定してください。
087,"ある工場で製造される電池の平均寿命が{mean}時間とされています。品質の向上を図るため改良を加えた新たな製造プロセスが導入されましたが、逆に寿命が短くなっていないかを懸念しています。そこで、改良後の製造プロセスで作られた電池から無作為に選択した{size}個の電池の使用寿命を計測し、以下のデータが得られました：{data}時間。電池の寿命は正規分布に従うと仮定します。このデータを基にして、新しい製造プロセスによる電池の平均寿命が{mean}時間よりも低下しているかを、有意水準{alpha}で検定してください。
088,"医薬品の平均有効成分量が規定量の{mean}mgを下回っているか否かは、患者の健康に直結するために非常に重要な事項です。あなたは品質管理担当者として、新たに製造された医薬品からランダムに{size}個のサンプルを選び、有効成分の分析を行いました。それぞれのサンプルから得られた有効成分のデータは{data}mgでした。医薬品の有効成分量は正規分布すると仮定します。新たに得られたサンプルデータに基づき、有効成分量が規定値の{mean}mgを下回っているかを有意水準{alpha}で検定してください。
089,"ある製造ラインで生産される小型ギアの直径は，品質管理のために規定された母平均{mean}mmを満たす必要があります。品質保証部門では，ギアの直径がこの基準値を下回っていないか常に監視しています。最新の生産ロットからランダムに選んだ{size}個のギアの直径を測定したところ，以下のデータが得られました：{data}mm。ギアの直径は正規分布に従うと仮定されます。これらのデータを用いて，ギアの平均直径が規定の{mean}mmよりも小さいかどうかを有意水準{alpha}で検定してください。
090,"ある食品メーカーでは、新たに導入された製造プロセスによって一般的なスナックの塩分量が減少し、その結果母平均が{mean}gから低下した可能性があると考えています。品質管理のためにランダムに選ばれた{size}個の製品から塩分量を測定したところ、以下のデータが得られました：{data}(g)。塩分量が正常に分布していると仮定し、スナックの平均塩分量が{mean}g未満であることを示すために、有意水準{alpha}で統計的検定を行ってください。
091,"植物の成長促進剤が過度の使用により種子の品質に悪影響を及ぼすという研究結果が報告されています。母平均である種子の平均重量は{mean}gとされており、これよりも著しく重量が低下している場合、成長促進剤の使用が種子の品質を低下させているとの疑念が高まります。この問題を解析するため、使用されている農場からランダムに選んだ{size}個の種子の重量を測定した結果、次のデータが得られました：{data}(g)。種子の重量は正規分布すると仮定されています。有意水準{alpha}でこのデータをもとに種子の平均重量が{mean}gを下回っているかを検定してください。
092,"ある農薬の平均効果期間が{mean}日とされていますが、新たに開発された改良型農薬の方が効果期間が短くなるという懸念があります。改良型農薬をランダムに選ばれた{size}個の植物に施用した後、効果が観測できた期間を記録し、次のデータが得られました：{data}日。効果期間は正規分布に従うと仮定します。有意水準{alpha}で改良型農薬の効果期間が従来の農薬の{mean}日よりも短縮しているかを検定してください。
093,"ある製薬会社は、新しい抗生物質の販売前にその有効成分量が規定の{mean}mgを保っていることを確かめる必要があります。製薬規制当局は有効成分量が下回ることを避けるため、期待される母平均値に対してこれを下回らないかを特に検証するため最初に下側片側検定を推奨しています。その際、製薬会社はランダムに選択された{size}個の錠剤の有効成分量から得られたデータは以下の通りです：{data}mg。有効成分量は製造プロセスのコントロール下で正規分布すると想定されます。この新しい抗生物質が有効成分量の面で製薬規制基準に適合しているかどうかを、有意水準{alpha}で検証してください。
094,"統計学の講義で使用する飲料水のボトルの内容量に関する１標本t検定の問題を作成します。検査基準では、飲料水のボトルは平均的に{mean}mlを含むべきです。製品の品質を保証するため、新たに{size}本のボトルから内容量を調査し、次のデータを得ました：{data}ml。内容量は正規分布に従うとされています。これらのデータを用いて、ボトルの平均内容量が{mean}mlに満たないかどうかを、有意水準{alpha}で検定してください。
095,"ある工場では、従業員の作業効率向上のための研修が施されました。研修前の正常作業時間の平均は{mean}秒と記録されており、研修により作業時間が短縮されたかどうかを検証したいと考えています。研修後にランダムに選んだ{size}人の従業員の作業時間を計測したところ、以下のデータが得られました：{data}秒。作業時間は正規分布に従うと仮定できます。これらのデータを用いて作業時間が{mean}秒よりも有意に短縮されたかどうかを有意水準{alpha}で検定してください。
096,"製造ラインで作られるチョコレートの重量が品質管理の基準値として{mean}gであることが要求されています。最近の製造過程の変更が品質に影響を与えている可能性があると懸念されており、重量が基準値を下回っていないかを確認する必要があります。新しい製造過程から無作為に選択された{size}個のチョコレートの重量を測定したところ、次のデータが得られました：{data}(g)。チョコレートの重量は正規分布に従っていると考えられます。有意水準{alpha}で、チョコレートの重量が基準値{mean}gを下回るかどうかを検定してください。
097,"新しい冷凍食品のラベルには平均賞味期限が{mean}ヶ月と表示されていますが、最近の品質管理の問題から、実際の賞味期限がこれよりも短くなっている疑念が持ち上がっています。品質保証チームは{size}個のサンプルを無作為に検査し、以下のデータを得ました：{data}ヶ月。賞味期限の分布は正規分布に従うとされています。有意水準{alpha}でこの食品の平均賞味期限がラベル表示よりも短いか検定してください。
098,"最近のある学校の栄養改善プログラムにより、児童の一日あたりの推奨カロリー摂取量が{mean}kcal未満になる可能性があります。それを検証するため、学校給食を受け取る{size}人の児童の一日のカロリー摂取量を調査しました。次のデータが得られました：{data}kcal。推奨カロリー摂取量は正規分布に従うと考えられます。有意水準{alpha}で、プログラム導入後の一日あたりのカロリー摂取量が{mean}kcal未満であるかを検定してください。
099,"統計学の教師が指導する学習教材としての問題文を次に示します．「近年、ある中学校で実施された栄養改善プログラムが校内の児童の平均身長に影響を及ぼしたかを評価するための研究が行われています。栄養改善プログラム実施前のデータによると、児童の平均身長は{mean}cmでした。栄養改善プログラム実施後に無作為に選ばれた{size}人の児童の身長を測定したところ、以下のデータが得られました：{data}(cm)。身長は正規分布すると考えられるため、これらの測定値をもとにして、栄養改善プログラムが児童の平均身長を{mean}cmよりも低下させたかどうかを有意水準{alpha}で検定してください。」
100,"ある小麦畑での新しい品種の小麦の実験が行われ、平均発芽率が{mean}%と予測されています。この品種の発芽率が予測を下回るかどうかを確認するために、{size}個の種子の発芽試験を行った結果、発芽した種子は{data}個でした。発芽率が予測された{mean}%を実際に下回るかを有意水準{alpha}で検定してください。種子の発芽率は正規分布に従うとされています。
