No.,問題文
069,"新しい洗剤の洗浄効果に関する実験を行っています。過去の調査では、洗浄効果の平均スコアは{mean}だったと記録されています。製品改良を行った後、無作為に選ばれた{size}個のサンプルで洗浄実験をし、各サンプルに対する効果のスコアを次のように記録しました：{data}。これらのスコアは正規分布していると想定されます。有意水準{alpha}でこの洗剤の洗浄効果が以前の平均スコア{mean}から有意に変化したかどうかを検定してください。
070,"ある製菓会社では、新しいレシピを用いたクッキーの重さが、従来のレシピを用いた場合の{mean}gと比べて統計的に有意な差があるかを確認したいと考えています。新レシピによるクッキーのサンプルを{size}個製造し、それぞれの重さを測定した結果、次のデータを得ました：{data}(g)。クッキーの重さは正規分布に従うことが過去のデータからわかっています。この新しいレシピが従来のレシピと比べてクッキーの平均重量に変化をもたらしたかどうかを、有意水準{alpha}で検定してください。
071,"食品の栄養成分含有量に関する品質保証テストを実施しています。特定のビタミンサプリメントのラベルには1錠あたりのビタミンC含有量が{mean}mgと表示されています。品質管理部門はこの表示値が実際の含有量と一致するかを確認するために、{size}錠のサンプルを無作為に選び、含有量を分析しました。分析結果は次の通りです：{data}mg。ビタミンCの含有量は正規分布すると見なせます。有意水準{alpha}で、サプリメントの平均ビタミンC含有量が表示値の{mean}mgと異なるかを検証してください。
072,"大学の統計学の講義で使用する速読技術トレーニングプログラムの効果を検証するため、あらかじめ大学生をランダムに{size}人選出し、トレーニングプログラムを受講してもらった後に読書速度のテストを行いました。従来の速読技術プログラムの結果と比較して、平均読書速度に差があるかどうかを知るために、これらの学生のテスト結果は次のようになりました：{data}語/分。以前に収集されたデータによると、学生の読書速度の平均値は{mean}語/分とされています。読書速度は正規分布に従うと仮定しています。平均読書速度が以前と異なるかどうかを有意水準{alpha}で検定してください。
073,"あるメーカーが製造する電子機器のバッテリー寿命は、以前の調査により平均{mean}時間とされています。しかし、製品の品質が変わった可能性があるため、バッテリーの寿命が過去の値から変化しているかどうかを調べることになりました。{size}個の製品のバッテリー寿命を無作為に選んで検査したところ、以下のデータを得ました：{data}時間。バッテリーの寿命は正規分布していると仮定されます。このデータを用いて、バッテリーの平均寿命が{mean}時間から変わったかどうかを有意水準{alpha}で検定してください。
074,"新たな洗剤の洗浄効果について、メーカーは以前の製品に比べて効果が変わっていないと主張しています。従来品の洗浄効能スコアの母平均は{mean}です。市場からランダムに選んだ{size}個の新製品の洗浄効能スコアを測定したところ、以下の数値を得ました：{data}。洗浄効能スコアは正規分布するとみなせます。有意水準{alpha}で、新製品の洗浄効能スコアが従来品の母平均と異なるかどうかを検定してください。
075,"平均的な日本人男性の体重は{mean}kgであるとされています。最近の健康志向の流れにより、この体重が以前と変化している可能性が考えられます。そこで、ある都市に住む{size}人の男性を無作為に選び、その体重を測定したところ、以下のデータを得ました：{data}kg。得られた体重データは正規分布していると考えられます。有意水準{alpha}で男性の平均体重が{mean}kgから有意に変わったかどうかを検定してください。
076,"あなたは臨床試験の研究者であり、新しい睡眠改善薬の効果が従来の薬と異なるかどうかを確かめるために研究を行っています。過去のデータから、従来の薬の平均睡眠時間は{mean}時間とされています。今回の試験ではランダムに選んだ{size}人の被験者に新しい薬を投与し、その結果、以下の睡眠時間データを得ました：{data}時間。睡眠時間は正規分布に従うと仮定されます。得られたデータを基に、新しい睡眠改善薬の効果が従来の薬の平均睡眠時間と異なるかどうかを有意水準{alpha}で検定してください。
077,"ある製菓工場では、チョコレートバーの平均重量が{mean}gであることを標準としています。しかし、機械の調整を変更した後、平均重量が違っているとの指摘がありました。そのため品質管理の一環として、新しい生産ロットからランダムに{size}個のチョコレートバーを選び、重量を計測しました。計測結果は以下の通りです：{data}(g)。チョコレートバーの重量は正規分布すると仮定されています。このデータをもとに、有意水準{alpha}でチョコレートバーの平均重量が{mean}gから有意に変わったかどうかを検定してください。
078,"社会心理学の研究で、街中での好意行動の平均回数が{mean}回という過去の研究結果に関して、最近の社会動向が影響しているかどうかを確かめる研究が行われました。無作為に選んだ{size}人の被験者に対して行動観察を行い、1日あたり行う好意行動の回数を記録した結果、以下のデータが得られました：{data}回。被験者の行動データは正規分布すると仮定しています。平均回数が過去の{mean}回から変化しているかどうかを有意水準{alpha}で検定してください。
079,"大学生の睡眠時間に興味がある研究者がいます。以前の研究によれば、大学生の1日あたりの平均睡眠時間は{mean}時間だと報告されています。しかし、最新のライフスタイルの変化が睡眠時間に与える影響を調べたいと考え、ランダムに選んだ{size}人の大学生について、1週間毎日の睡眠時間を記録してもらい、そのデータは以下のようになりました：{data}時間。睡眠時間が正規分布に従うと仮定した上で、有意水準{alpha}でこれらのデータを使用して、大学生の平均睡眠時間が{mean}時間から有意に変化しているかどうかを検定してください。
080,"ある工場では、製品の平均寿命が{mean}年とされています。新しい素材を使用した製品の耐久性が従来の製品と同等かどうかを調べるために、{size}個の製品に対してストレステストを実施しました。ストレステストの結果、製品の寿命データは以下になりました：{data}年。製品寿命の分布は正規分布と仮定されます。これらのデータを用いて、製品の平均寿命が{mean}年と有意に異なるかどうかを有意水準{alpha}で検定してください。
081,"ある工場で生産されるボルトの長さの品質管理が行われており、生産されたボルトの平均長さは{mean}mmとされています。品質保持のために抽出した{size}本のボルトから得られた測定データは次の通りです：{data}(mm)。ボルトの長さは工程の制御により正規分布していると仮定されます。最新のサンプルデータを用いて、生産されるボルトの平均長さが{mean}mmから有意に異なるかどうかを有意水準{alpha}で検定してください。
082,"ある製薬会社が開発した新しい鎮痛剤の平均効力について、従来の製品と変わらないかという疑問が提起されました。従来の鎮痛剤の母平均効力は{mean}mgとされており、新製品の効力がこれと同等かどうかを立証する必要があります。そこで、新製品をランダムに抽出した{size}個について効力の測定を行ったところ、以下のデータが得られました：{data}mg。鎮痛剤の効力は正規分布に従うとされています。効力データを用いて、新しい鎮痛剤の効力が従来の{mean}mgから有意に変わったかどうかを有意水準{alpha}で検定してください。
083,"新製品のパッケージデザインが消費者の視認性に影響を与えるかを研究しています。パッケージデザインの平均視認性スコアが{mean}ポイントであるという以前の研究結果があり、この新製品のデザインがこの基準値から有意に異なるかどうかを検証するために研究が行われました。研究に参加した{size}人の被験者から得られた新製品の視認性スコアは以下の通りです：{data}ポイント。スコアは正規分布に従うものと仮定します。有意水準{alpha}で、新製品の平均視認性スコアが{mean}ポイントとは異なるかどうかを検定してください。
084,"学校の給食に提供されるパンの重さが、生産ラインの改良により指定された{mean}gから変わったかどうか評価することになりました。品質管理のため、ランダムに選んだ{size}個のパンの重さを計測したところ、次のデータが得られました：{data}(g)。パンの重量分布は正規母集団に属すると仮定しています。平均重量が{mean}gから有意に変わっているかを、有意水準{alpha}で検定してください。
085,"ある工場で製造される電池の公称寿命は{mean}時間とされています。品質管理のため、実際の電池の寿命が差異があるかどうかを確かめる検証が行われました。電池は正規分布に従う寿命を示すと仮定されています。無作為に選ばれた{size}個の電池をテストした結果、以下のデータが得られました：{data}時間。これらの情報をもとに、有意水準{alpha}で実際の電池の寿命が公称寿命の{mean}時間から有意に異なるかどうかを検定してください。
086,"新製品の製造プロセスが従来のものと比べて品質に違いをもたらしているかを検証するため、{size}個のサンプルを無作為に選んでテストを行いました。以前のプロセスで確立された品質指標の平均値は{mean}であるとされています。今回収集した製品のテスト結果は次の通りです：{data}。製品の品質指標は正規分布しているとされています。収集したデータを用いて、新しい製造プロセスが品質指標の平均値に有意な変化をもたらしたかどうかを有意水準{alpha}で検定してください。
087,"ある飲食チェーン店では、新メニューの販売効果分析を行っています。新メニューを導入する前の平均客単価は{mean}円であり、新メニュー導入後の客単価がこの値から有意に変化したかどうかを見るため、{size}日間の客単価をランダムに記録しました。記録された客単価のデータは次の通りです：{data}円。消費者行動が多様であることから、客単価の分布は正規分布に従うと仮定されます。ランダムに選ばれた日々の客単価をもとに、新メニュー導入後の平均客単価が以前の{mean}円から変わったかどうかを、有意水準{alpha}で統計的に検定してください。
088,"ある飲料の糖分含量についての調査を行っています。過去の品質管理データによると、この飲料の糖分の平均含量は{mean}gであったとされています。しかし、最近の製造プロセスの変更が糖分含量に影響を与えた可能性が指摘されており、実際の含量が以前と異なるかどうかを検証する必要があります。そこで、最近製造された{size}本の飲料から無作為に抽出し、糖分含量を測定したところ、以下のデータを得ました：{data}(g)。糖分含量は正規分布に従うと仮定されています。このデータを用いて、飲料の糖分の平均含量が{mean}gから統計的に有意に変わったかどうかを、有意水準{alpha}で検定してください。
089,"新型の乾燥機が市場に投入される前に、その平均乾燥時間が以前のモデルと変わらないことを確認する必要があります。旧型乾燥機の平均乾燥時間は{mean}分であったと記録されています。品質管理部門は新型乾燥機について{size}台をテストし、それぞれの乾燥時間を次のように記録しました：{data}分。乾燥時間が正規分布に従うことが過去のデータから確認されており、新型乾燥機の平均乾燥時間が旧型と同等であるか実証するために、有意水準{alpha}で検定を行います。
090,"ある製造ラインで作られる缶詰の平均重量は、工場の規格により{mean}gであるとされています。品質管理部門は、製造プロセスに変更があった後の製品が規格に適合しているかどうかを確認するため、無作為に選択された{size}個の缶詰から重量を測定し、以下のデータを得ました：{data}(g)。重量の分布は正規分布であると考えられています。有意水準{alpha}を用いて、平均重量が{mean}gから有意に変わったかどうかを検定してください。
091,"新開発のバッテリーの平均寿命が業界標準の{mean}年であるとされていますが、実際の寿命がこの値と異なるかどうかを検証する必要があります。最新の{size}個のバッテリーサンプルの寿命測定データは次の通りです：{data}年。バッテリーの寿命は正規分布に従うと考えられており、このサンプルデータを用いて母平均が{mean}年から有意に変わっているかを有意水準{alpha}で検定してください。
092,"新型の燃費効率が優れたタイヤが発売され、メーカーは一般的な運転条件下での平均燃費改善率が{mean}%になると主張しています。製品のパフォーマンスを検証するため、{size}台の車に新型タイヤを装着し、各車の燃費改善率を計測しました。得られたデータは以下の通りです：{data}%。改善率の分布は正規分布に従うと考えられます。主張された平均燃費改善率{mean}%が正確であるかどうかを、有意水準{alpha}で検証してください。
093,"平均体温が{mean}度であるとされている成人に関する健康調査を行いました。最新の測定技術の開発により、この数値が古くなっている可能性があるため、{size}人の成人の体温を測定し、次のデータを得ました：{data}度。これらの成人の体温は正規分布すると仮定されています。このデータを用いて、成人の平均体温が{mean}度であるかどうかを有意水準{alpha}で確認してください。
094,"あなたは製品の品質管理を担当しており、ある電子部品の抵抗値が工程改善前の母平均{mean}Ωから変化したかどうかを検証する必要があります。生産ラインから無作為に{size}個の電子部品を抽出し、それらの抵抗値を測定した結果、以下のデータが得られました：{data}Ω。品質管理上の理由から、抵抗値の分布は正規分布していると仮定されます。有意水準{alpha}でこの電子部品の平均抵抗値が{mean}Ωから統計的に有意に変わったかどうかを検定してください。
095,"ある製品の製造プロセスに改善が施されました。改善前のこの製品の平均寿命は{mean}時間であったとされています。製造プロセスの改善により、製品の平均寿命が変わったかどうかを確認する必要があります。改善後に無作為に選んだ{size}個の製品の寿命テストを実施した結果、次のデータが得られました：{data}時間。製品の寿命は正規分布に従うと仮定できます。有意水準{alpha}で、製品の平均寿命が改善前の{mean}時間から変わったかどうかを検定してください。
096,"あるビジネススクールでは、受講生の成績は平均が{mean}点とされています。しかし最近のカリキュラム変更に伴い、成績の分布に変化があったとの仮説が立てられています。成績が正規分布に従うと仮定し、無作為に選んだ{size}名の受講生の成績データ{data}点を得ました。有意水準{alpha}で、受講生の成績の平均が以前の{mean}点から変動したかを検証してください。
097,"「近年、栄養バランスの良い食事の普及により、成人男性の平均身長が過去の{mean}cmから変化しているのではないかという推測がされています。正確なデータを取得するために、{size}人の成人男性を無作為に選び、身長を測定しました。得られたデータは次の通りです：{data}cm。身長は正規分布に従っていると考えられます。成人男性の平均身長に変化があるかを有意水準{alpha}で検定してください。」
098,"ある製薬会社が新しい栄養補助食品の効果を評価しています。栄養士によると成人の1日のビタミンC平均摂取量は{mean}mgとされています。新製品を服用した{size}人の成人から得た1日のビタミンC摂取量データは以下の通りです：{data}(mg)。摂取量は正規分布にしたがっていると考えられます。有意水準{alpha}で、新製品が摂取量に影響を与えているかどうか、つまり平均摂取量が{mean}mgから変化しているか否かを検定してください。
099,"国内の大学生の日平均勉強時間に関して、従来の調査では母平均が{mean}時間であるとされていました。しかし、オンライン授業が主流になった影響で、勉強時間に変化があると考えられます。新たにランダムに選ばれた{size}人の大学生にアンケート調査を行い、以下の日平均勉強時間のデータを得ました：{data}時間。このデータに基づいて、大学生の日平均勉強時間が従来の{mean}時間から有意に変化しているかどうかを検定したいと思います。勉強時間は正規分布に従うことが知られています。有意水準{alpha}を設定し、検定を実施してください。
100,"ある工場では、製品の品質保証のために製品の寸法を定期的にチェックしています。品質標準では製品の寸法の母平均は{mean}mmとされています。製品の寸法が設計通りかどうかを検証するために、無作為に選ばれた{size}個の製品から測定データを得ました：{data}(mm)。データの分布は正規分布に従うと仮定されます。有意水準{alpha}でこの製品の寸法が品質標準で設定された母平均{mean}mmと異なるかどうかを検証してください。
